Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
0,0,0,LogReg,1,W1,0.2425,0.7575,0.762836186,0.18074999999999997,0.06849999999999995,0.0004999999999999672
0,0,0,LogReg,1,W2,0.25,0.75,0.75,0.18125,0.08574999999999999,-0.003499999999999981
0,0,0,LogReg,1,X1,0.185,0.815,0.815920398,0.24900000000000003,0.08699999999999994,0.0
0,0,0,LogReg,1,X2,0.1875,0.8125,0.815724816,0.2625,0.07575,0.0
0,0,0,SVC,1,W1,0.2275,0.765,0.77294686,0.19175000000000003,0.06625,-0.0044999999999999814
0,0,0,SVC,1,W2,0.24,0.7575,0.750642674,0.18724999999999994,0.09924999999999995,0.00499999999999996
0,0,0,SVC,1,X1,0.18,0.7975,0.802919708,0.22624999999999998,0.06524999999999997,0.0019999999999999797
0,0,0,SVC,1,X2,0.1825,0.81,0.810945274,0.2587500000000001,0.07825000000000006,0.0007500000000000506
0,0,0,RF-C,1,W1,0.23,0.77,0.775609756,0.2145,0.06975000000000003,0.0022500000000000298
0,0,0,RF-C,1,W2,0.2275,0.7725,0.769620253,0.20474999999999993,0.11024999999999996,0.03724999999999997
0,0,0,RF-C,1,X1,0.1825,0.8175,0.817042607,0.2645,0.07175000000000001,0.005000000000000016
0,0,0,RF-C,1,X2,0.1725,0.8275,0.825316456,0.27775000000000005,0.1015,0.01775000000000001
0,0,0,XGBoost-C,1,W1,0.2225,0.715,0.719211823,0.17474999999999996,0.05624999999999995,-0.015000000000000046
0,0,0,XGBoost-C,1,W2,0.225,0.73,0.727272727,0.15974999999999998,0.09074999999999998,0.018999999999999982
0,0,0,XGBoost-C,1,X1,0.1975,0.76,0.753846154,0.19674999999999998,0.04575000000000001,-0.023999999999999987
0,0,0,XGBoost-C,1,X2,0.155,0.7875,0.788029925,0.24425,0.07874999999999997,-0.01325000000000004
0,0,0,MLP-C,1,W1,0.2325,0.7675,0.769230769,0.19149999999999995,0.07649999999999994,-0.0012500000000000289
0,0,0,MLP-C,1,W2,0.2325,0.7675,0.765743073,0.20124999999999998,0.10224999999999995,0.006749999999999967
0,0,0,MLP-C,1,X1,0.185,0.815,0.815920398,0.24900000000000003,0.08699999999999994,0.0
0,0,0,MLP-C,1,X2,0.18,0.82,0.821782178,0.26925,0.08449999999999994,0.002499999999999958
0,0,0,LogReg,2,W1,0.2275,0.7725,0.770780856,0.22499999999999995,0.09199999999999994,0.005499999999999972
