Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
0,0,0,LogReg,1,X,0.21,0.79,0.791044776,0.23750000000000004,0.10350000000000001,0.002000000000000013
0,0,0,LogReg,1,W1,0.2325,0.7675,0.766917293,0.22149999999999997,0.10749999999999997,0.0022499999999999855
0,0,0,LogReg,1,W2,0.2575,0.7425,0.744416873,0.18225000000000002,0.10025000000000006,0.001000000000000023
0,0,0,SVC,1,X,0.21,0.7825,0.783042394,0.23674999999999996,0.09499999999999999,0.004249999999999965
0,0,0,SVC,1,W1,0.2325,0.765,0.763819095,0.21325000000000002,0.10500000000000002,0.003750000000000031
0,0,0,SVC,1,W2,0.25,0.745,0.742424242,0.19049999999999997,0.10125000000000002,0.009999999999999986
0,0,0,RF-C,1,X,0.23,0.77,0.776699029,0.23475000000000001,0.0805,0.0025000000000000356
0,0,0,RF-C,1,W1,0.2325,0.7675,0.765743073,0.22974999999999995,0.08749999999999994,0.013499999999999967
0,0,0,RF-C,1,W2,0.2625,0.7375,0.736842105,0.17775000000000007,0.09600000000000006,0.011250000000000038
0,0,0,XGBoost-C,1,X,0.225,0.7375,0.739454094,0.19500000000000003,0.06150000000000002,0.021250000000000047
0,0,0,XGBoost-C,1,W1,0.235,0.725,0.717948718,0.17674999999999996,0.08449999999999999,0.003999999999999971
0,0,0,XGBoost-C,1,W2,0.2625,0.6775,0.681481481,0.142,0.07149999999999998,-0.0035000000000000144
0,0,0,MLP-C,1,X,0.21,0.79,0.791044776,0.2385,0.10325000000000004,0.0040000000000000365
0,0,0,MLP-C,1,W1,0.23,0.77,0.767676768,0.22350000000000003,0.10800000000000001,0.004750000000000009
0,0,0,MLP-C,1,W2,0.25,0.75,0.754901961,0.19575,0.10450000000000001,0.000749999999999984
0,0,0,LogReg,2,X,0.1825,0.8175,0.818858561,0.253,0.086,0.00125000000000004
0,0,0,LogReg,2,W1,0.1975,0.8025,0.806845966,0.22774999999999998,0.10400000000000001,0.002749999999999986
0,0,0,LogReg,2,W2,0.265,0.735,0.728205128,0.16775,0.08524999999999998,0.0049999999999999715
0,0,0,SVC,2,X,0.1825,0.805,0.808823529,0.24075000000000002,0.07525000000000004,-0.007249999999999956
0,0,0,SVC,2,W1,0.1975,0.7925,0.8,0.21274999999999994,0.09949999999999999,-0.003000000000000036
0,0,0,SVC,2,W2,0.2425,0.745,0.742424242,0.17274999999999996,0.10875000000000001,0.011499999999999988
0,0,0,RF-C,2,X,0.1875,0.8125,0.816625917,0.25475000000000003,0.09249999999999999,0.000749999999999984
0,0,0,RF-C,2,W1,0.205,0.795,0.799019608,0.23900000000000005,0.09525000000000003,-0.004249999999999987
0,0,0,RF-C,2,W2,0.2575,0.7425,0.739240506,0.17725000000000007,0.09625000000000006,0.006250000000000033
0,0,0,XGBoost-C,2,X,0.1775,0.7675,0.77037037,0.21249999999999997,0.07199999999999995,-0.016750000000000043
0,0,0,XGBoost-C,2,W1,0.185,0.7525,0.761445783,0.18974999999999997,0.09524999999999995,0.0004999999999999672
0,0,0,XGBoost-C,2,W2,0.2475,0.69,0.691542289,0.12024999999999993,0.06824999999999994,-0.010750000000000037
0,0,0,MLP-C,2,X,0.1775,0.8225,0.82382134,0.254,0.09775000000000002,0.010249999999999992
0,0,0,MLP-C,2,W1,0.1975,0.8025,0.807785888,0.2285,0.10425,-0.00025000000000000575
0,0,0,MLP-C,2,W2,0.2475,0.7525,0.754342432,0.18149999999999997,0.11024999999999996,0.014499999999999924
0,0,0,LogReg,3,X,0.18,0.82,0.818181818,0.27074999999999994,0.08799999999999995,0.001499999999999968
0,0,0,LogReg,3,W1,0.225,0.775,0.770408163,0.21725,0.07900000000000001,0.005250000000000044
0,0,0,LogReg,3,W2,0.245,0.755,0.751269036,0.193,0.08975,0.006999999999999995
0,0,0,SVC,3,X,0.1725,0.8275,0.825316456,0.2795,0.09674999999999999,0.0015000000000000234
0,0,0,SVC,3,W1,0.23,0.755,0.743455497,0.197,0.06375000000000001,-0.00874999999999999
0,0,0,SVC,3,W2,0.2475,0.745,0.735751295,0.18925,0.08149999999999999,-0.008000000000000007
0,0,0,RF-C,3,X,0.1775,0.8225,0.818414322,0.28924999999999995,0.07575000000000001,-0.00024999999999997247
0,0,0,RF-C,3,W1,0.2325,0.7675,0.759689922,0.209,0.08324999999999996,0.006749999999999978
0,0,0,RF-C,3,W2,0.2625,0.7375,0.725848564,0.19275000000000003,0.07650000000000004,-0.005499999999999982
0,0,0,XGBoost-C,3,X,0.175,0.77,0.761658031,0.2375,0.05200000000000001,-0.0022499999999999855
0,0,0,XGBoost-C,3,W1,0.225,0.7525,0.745501285,0.20099999999999993,0.08899999999999994,0.010999999999999954
0,0,0,XGBoost-C,3,W2,0.2525,0.665,0.654639175,0.12375000000000003,0.051000000000000045,-0.037999999999999964
0,0,0,MLP-C,3,X,0.175,0.825,0.819587629,0.27549999999999997,0.09524999999999996,0.0014999999999999792
0,0,0,MLP-C,3,W1,0.2225,0.7775,0.774683544,0.21749999999999997,0.08224999999999996,0.0067499999999999895
0,0,0,MLP-C,3,W2,0.2475,0.7525,0.749367089,0.19149999999999995,0.08849999999999994,0.002999999999999936
0,0,0,LogReg,4,X,0.1825,0.8175,0.817955112,0.27525,0.08024999999999999,0.0005000000000000449
0,0,0,LogReg,4,W1,0.2075,0.7925,0.793017456,0.25175000000000003,0.07325,-0.0032500000000000085
0,0,0,LogReg,4,W2,0.285,0.715,0.720588235,0.16774999999999998,0.042749999999999955,-0.003000000000000047
0,0,0,SVC,4,X,0.17,0.8225,0.820253165,0.277,0.07825000000000001,0.007250000000000012
0,0,0,SVC,4,W1,0.195,0.795,0.792929293,0.24825000000000003,0.07475000000000004,-0.0012499999999999734
0,0,0,SVC,4,W2,0.28,0.7075,0.712530713,0.1595,0.031000000000000017,-0.005749999999999989
0,0,0,RF-C,4,X,0.1625,0.8375,0.832041344,0.30250000000000005,0.09150000000000003,0.018250000000000034
0,0,0,RF-C,4,W1,0.2075,0.7925,0.788804071,0.24949999999999997,0.08149999999999999,0.02124999999999999
0,0,0,RF-C,4,W2,0.2725,0.7275,0.719794344,0.181,0.05850000000000003,0.0055000000000000274
0,0,0,XGBoost-C,4,X,0.18,0.7775,0.778054863,0.2425,0.06299999999999997,0.0027499999999999634
0,0,0,XGBoost-C,4,W1,0.2075,0.7525,0.745501285,0.20274999999999999,0.06699999999999995,0.012999999999999933
0,0,0,XGBoost-C,4,W2,0.275,0.685,0.683417085,0.14400000000000007,0.05625000000000006,0.013500000000000068
0,0,0,MLP-C,4,X,0.1825,0.8175,0.817955112,0.27549999999999997,0.08,0.0005000000000000337
0,0,0,MLP-C,4,W1,0.185,0.815,0.801075269,0.26474999999999993,0.09324999999999994,0.03899999999999994
0,0,0,MLP-C,4,W2,0.2775,0.7225,0.728606357,0.17175,0.056500000000000015,0.011250000000000038
0,0,0,LogReg,5,X,0.24,0.76,0.765853659,0.21300000000000008,0.040749999999999995,3.3306690738754695e-17
