Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,R2,Imp_F,Imp_Z1,Imp_Z2
0,0,0,MLR,1,X,0.005234244,0.994606977,1.0437912630389043,1.0673084063220248,-1.9591575654043235e-05
0,0,0,MLR,1,W1,0.168658209,0.826225594,0.6926986395150855,1.027584365966491,0.00015080877479908272
0,0,0,MLR,1,W2,0.419344549,0.567934756,0.19771637334778797,0.9810554480931362,-0.0004271596620287532
0,0,0,SVR,1,X,0.005217614,0.994624111,1.0459892636071229,1.0672603626141524,-1.725822946072597e-05
0,0,0,SVR,1,W1,0.167898173,0.827008685,0.714228465090449,1.0364713376042016,0.00022672829438064035
0,0,0,SVR,1,W2,0.417827826,0.569497488,0.2096044418368887,1.0044856955920323,-0.0001355088938917004
0,0,0,RF-R,1,X,0.010070388,0.98962413,1.0120934725312196,1.0108345789488293,0.0020652543298632976
0,0,0,RF-R,1,W1,0.190859064,0.803351282,0.6120501258165373,0.8720493744725362,0.003463223472313326
0,0,0,RF-R,1,W2,0.432692299,0.554182106,0.19558300549855195,0.8668758181420259,0.005090971513255249
0,0,0,XGBoost-R,1,X,0.007559659,0.991511926,1.0427231099153,1.0569487941923434,0.00027489128420172816
0,0,0,XGBoost-R,1,W1,0.176047559,0.732911968,0.6744652087587082,0.9712759001001647,-0.005494763281866144
0,0,0,XGBoost-R,1,W2,0.415731022,0.427340274,0.21486580559673904,0.9389273292926777,0.007809720233607287
0,0,0,MLP-R,1,X,0.005234775,0.994606429,1.0430545465224819,1.0678906362560787,-1.723396391061227e-05
0,0,0,MLP-R,1,W1,0.168157856,0.826741124,0.687049281911413,1.0056435795090188,0.000615598246320137
0,0,0,MLP-R,1,W2,0.418395369,0.568912729,0.19557538708815464,0.9786576403550061,-0.00040708734013197303
0,0,0,MLR,2,X,0.005216789,0.994888949,0.9809943200725932,0.9765967085112282,0.0
0,0,0,MLR,2,W1,0.221035729,0.783444384,0.5754340532583756,0.9372320865721301,0.0
0,0,0,MLR,2,W2,0.432025803,0.57673081,0.1496916308218005,0.9572889038830876,0.00015187437766432942
0,0,0,SVR,2,X,0.005407516,0.994702087,0.9787366986757278,0.9702188451171215,7.364120071449154e-05
0,0,0,SVR,2,W1,0.220272061,0.784192573,0.5389397007123004,0.9497231367584362,-2.9220953979613995e-05
0,0,0,SVR,2,W2,0.432561392,0.576206078,0.16484207152565658,0.9708493262863958,-4.535938673223549e-05
0,0,0,RF-R,2,X,0.016313129,0.984017518,0.9606199020396579,0.9243338796662088,-0.004415438427668961
0,0,0,RF-R,2,W1,0.236366494,0.768424354,0.5522368708275385,0.8420657666990492,0.0022024921256186382
0,0,0,RF-R,2,W2,0.468387201,0.541106412,0.1282632767281215,0.9030665046030304,-0.0036929247354463347
0,0,0,XGBoost-R,2,X,0.007223161,0.990945747,0.9763177317387125,0.9757260971584845,0.0006217041287078007
0,0,0,XGBoost-R,2,W1,0.219304085,0.719084557,0.5881023966660994,0.924994458199707,0.0007804518649204395
0,0,0,XGBoost-R,2,W2,0.436648089,0.415156609,0.12026831111727132,0.9615003065875737,-0.01767893728918335
0,0,0,MLP-R,2,X,0.005166598,0.994938122,0.979890203363707,0.9748788785315892,-1.0866964767519694e-05
0,0,0,MLP-R,2,W1,0.22033158,0.784134261,0.5756327470648055,0.9454728733840051,-4.602564433900946e-05
0,0,0,MLP-R,2,W2,0.43177826,0.576973337,0.15041087838108055,0.9578604772390851,0.00043667497683542723
0,0,0,MLR,3,X,0.005687904,0.994362376,0.9413302782979768,1.0359281937119325,-5.760992612180438e-06
0,0,0,MLR,3,W1,0.149358993,0.851961321,0.6330574323494453,1.0101057360177799,0.00029753840978704595
0,0,0,MLR,3,W2,0.405224689,0.598357445,0.15653759482508006,1.0434257915984804,0.00020651369033206635
0,0,0,SVR,3,X,0.005690083,0.994360216,0.9418032539301681,1.0358419444746492,-5.077871696934633e-06
0,0,0,SVR,3,W1,0.156776656,0.844609229,0.6390533421368377,0.9863716270178171,-0.006248569314357277
0,0,0,SVR,3,W2,0.403634735,0.599933344,0.17878023626546322,1.0374632487327609,6.370944388359723e-05
0,0,0,RF-R,3,X,0.010793291,0.98930212,0.9176216567732045,0.9901406945136447,0.00016686430970922484
0,0,0,RF-R,3,W1,0.16269926,0.83873898,0.5947923864106404,0.905638415497467,-0.0014978017792184662
0,0,0,RF-R,3,W2,0.428228504,0.575556981,0.14768220829407394,0.9572065602351753,-0.009811294741668563
0,0,0,XGBoost-R,3,X,0.006475784,0.992035902,0.9453834041230849,1.0459550127669095,8.118875364031553e-05
0,0,0,XGBoost-R,3,W1,0.153827226,0.815772719,0.6700966821719643,1.0228543525121618,0.02376709579373284
0,0,0,XGBoost-R,3,W2,0.422565522,0.413623357,0.15663073289717314,0.9874306230273648,-0.04632238487340577
0,0,0,MLP-R,3,X,0.00568301,0.994367227,0.9387527141489752,1.0395618442052583,9.505921325425604e-07
0,0,0,MLP-R,3,W1,0.148651934,0.85266213,0.6364263240446484,1.0001803875928947,0.0002920799236183269
0,0,0,MLP-R,3,W2,0.400471734,0.603068385,0.16399297615276762,1.0512478936048122,-0.0022570249612062997
0,0,0,MLR,4,X,0.005205884,0.994993061,0.9576782072622196,1.0925605153857585,4.1060040599338874e-06
0,0,0,MLR,4,W1,0.173991777,0.83265738,0.6370617614464351,1.0448666726884421,2.3785511133811444e-05
0,0,0,MLR,4,W2,0.408605006,0.60700998,0.14613214694998997,1.0859971392875827,0.001075809459923882
0,0,0,SVR,4,X,0.007280092,0.99299812,0.9539413585615263,1.0920411524486924,-0.0002122119733126482
0,0,0,SVR,4,W1,0.175238118,0.831458669,0.6783105675223557,1.0454059048125162,-3.788937212930721e-05
0,0,0,SVR,4,W2,0.409752391,0.605906442,0.1990028371776354,1.0980291079958893,0.0003989799489501067
0,0,0,RF-R,4,X,0.010785457,0.989626713,0.9344304033293058,1.0533819128533115,-0.00019204691394258955
0,0,0,RF-R,4,W1,0.187458447,0.819705344,0.6005220461948099,0.973699022624355,0.0066726447608053355
0,0,0,RF-R,4,W2,0.443401908,0.573542854,0.14724172351241854,1.0052858039035122,0.012732940305330565
0,0,0,XGBoost-R,4,X,0.006979235,0.991236535,0.9549267965975237,1.103871640749316,-0.0001931236900915456
0,0,0,XGBoost-R,4,W1,0.179532886,0.778350494,0.6348395242938268,1.0767098348424269,0.020173721229445763
0,0,0,XGBoost-R,4,W2,0.43015948,0.454732641,0.1309669233097724,1.096094830485115,0.0015068481272825784
0,0,0,MLP-R,4,X,0.005176909,0.995020929,0.9576979115497629,1.0928512714488419,6.699539286676437e-05
0,0,0,MLP-R,4,W1,0.173283171,0.833338907,0.6324860539899939,1.0394706459133047,-1.4756805417714958e-05
0,0,0,MLP-R,4,W2,0.40860409,0.607010861,0.1461465727169573,1.0859959542527835,0.00107478187491723
0,0,0,MLR,5,X,0.005409743,0.994946156,0.9053364626813293,1.0006946747850958,3.035606935986035e-06
0,0,0,MLR,5,W1,0.145601909,0.863977025,0.6391345864957001,1.029759625538345,0.0003047607605099367
0,0,0,MLR,5,W2,0.425786958,0.602224933,0.14675259797672835,1.0212964941227696,-0.0004737200277077247
0,0,0,SVR,5,X,0.00545959,0.994899589,0.9011358777443995,0.9945760441605763,2.0986699185820966e-06
0,0,0,SVR,5,W1,0.147677273,0.862038196,0.7217459618351668,1.0381353957885748,-2.325317140097205e-05
0,0,0,SVR,5,W2,0.424982298,0.602976657,0.13008283658318992,1.0178500181165169,-0.0001192010559300849
0,0,0,RF-R,5,X,0.010955733,0.989765029,0.8844819662698435,0.9569314210013682,0.0016593766987838543
0,0,0,RF-R,5,W1,0.168766013,0.842336852,0.6165888237806347,0.9801201446573536,0.004760480774843956
0,0,0,RF-R,5,W2,0.461031413,0.569299159,0.1379173888645183,0.9353670265688884,-0.0004541190638399417
0,0,0,XGBoost-R,5,X,0.007518987,0.992419958,0.9063960066594234,1.0025645953968285,0.0004322070236200459
0,0,0,XGBoost-R,5,W1,0.153499779,0.809469005,0.6596676124594038,1.0545470193264124,0.008316508274666656
0,0,0,XGBoost-R,5,W2,0.430843902,0.464532532,0.14199424999044002,0.9561491168868731,0.004438938692284611
0,0,0,MLP-R,5,X,0.005407001,0.994948718,0.9053407405429759,1.0006164144640421,2.9049570676065175e-06
0,0,0,MLP-R,5,W1,0.145481565,0.864089452,0.6399770305353345,1.0265881148004758,0.0004322733261748812
0,0,0,MLP-R,5,W2,0.423827006,0.604055944,0.1428803675537248,1.0006961325249106,0.0009238790239832096
0,0,0,MLR,6,X,0.00506623,0.994915054,1.034142649178478,0.9270637019187518,2.957110070855862e-06
0,0,0,MLR,6,W1,0.194778124,0.804502281,0.6438065756704805,0.9245612074133623,-9.211347590698526e-05
0,0,0,MLR,6,W2,0.43621403,0.562174407,0.1529554195824433,0.957791967793171,4.824684416093738e-07
0,0,0,SVR,6,X,0.005026242,0.994955189,1.0376404388711005,0.9270253606835868,1.4731838577652923e-05
0,0,0,SVR,6,W1,0.194244747,0.805037629,0.6657684682084059,0.9430309286433726,-4.5535668326501796e-05
0,0,0,SVR,6,W2,0.435508886,0.562882156,0.16635957872684384,0.946095406320541,6.461480785765472e-05
0,0,0,RF-R,6,X,0.010612601,0.989348192,1.00815234664914,0.8901120085983478,0.0015903137328337814
0,0,0,RF-R,6,W1,0.207850323,0.791381788,0.6196684802400566,0.8707516448164684,0.0005348512814013495
0,0,0,RF-R,6,W2,0.46351093,0.53477666,0.14347493030134023,0.8461595791674096,-0.0015549578979884183
0,0,0,XGBoost-R,6,X,0.006745053,0.99222667,1.0307788186886575,0.9143444890563037,0.00027302156053221616
0,0,0,XGBoost-R,6,W1,0.19836036,0.73796308,0.6531905521700128,0.9192683095812271,-0.00622963072188829
0,0,0,XGBoost-R,6,W2,0.454704523,0.405054516,0.12248409398799631,0.8890447798945859,0.0014275233397045284
0,0,0,MLP-R,6,X,0.005012239,0.994969244,1.0349678845329495,0.922051133960017,1.7698405303079312e-06
0,0,0,MLP-R,6,W1,0.194242243,0.805040143,0.642524870559356,0.9254745377289725,-0.0003058053292267271
0,0,0,MLP-R,6,W2,0.436213311,0.562175128,0.15293702128097109,0.9577826096855266,1.1130094239142352e-06
0,0,0,MLR,7,X,0.005247852,0.994658948,0.9880769050336495,1.0044743271095407,1.1898108253360906e-05
0,0,0,MLR,7,W1,0.190979649,0.805628651,0.6266852748347549,1.007152335123434,0.00016390516882334172
0,0,0,MLR,7,W2,0.409286747,0.583444532,0.17571294580495128,1.0252932843754967,0.0
0,0,0,SVR,7,X,0.005219642,0.99468766,0.9940926934935094,1.0036141059235246,6.322307929473858e-06
0,0,0,SVR,7,W1,0.190848948,0.805761673,0.6055939330006281,0.9906442227203325,0.00015414670631324067
0,0,0,SVR,7,W2,0.413800766,0.578850346,0.1424599998011344,0.9978923736053826,-0.00044097324209787516
0,0,0,RF-R,7,X,0.010402376,0.989412884,0.9619503408662317,0.965596407502294,0.0013888604090213307
0,0,0,RF-R,7,W1,0.205175537,0.791180652,0.5850321611509972,0.9382950648433598,0.0062109520933479765
0,0,0,RF-R,7,W2,0.434770436,0.557508266,0.1540367579170249,0.9050625006323832,-0.006324912325598164
0,0,0,XGBoost-R,7,X,0.007144049,0.991590195,0.9868596156799141,0.9981900840631676,0.0006728954902448403
0,0,0,XGBoost-R,7,W1,0.196947604,0.749324664,0.629122887161436,1.0033359130920814,0.02069318896680149
0,0,0,XGBoost-R,7,W2,0.413185321,0.450155245,0.16708760261163608,1.0183138547583048,-0.001394274438824683
0,0,0,MLP-R,7,X,0.005247084,0.99465973,0.9882617147949382,1.0044541528207365,1.1907167919233963e-05
0,0,0,MLP-R,7,W1,0.187800474,0.808864286,0.6273455827315584,1.0044647342975588,0.00041283158389918693
